District,Rainfall_2023_mm,Normal_Rainfall_mm,Extraction_Status,TDS/EC_Level,Nitrate_Status,Fluoride_Status,PH,TDS_mg_L,Calcium_mg_L,Magnesium_mg_L,Chloride_mg_L,Nitrate_mg_L,Fluoride_mg_L
Rajkot,696.3,661.0,Safe,High,Above Limit,Within Limit,7.08,2005,84.9,69.9,541,49.2,1.12
Gandhinagar,775.0,782.3,Safe,Low,Within Limit,Within Limit,7.54,329,65.1,42.9,185,13.0,0.44
Bhavnagar,464.1,642.7,Safe,Moderate,Above Limit,Within Limit,7.24,840,94.0,12.8,260,70.6,1.2
Jamnagar,694.5,669.0,Safe,Low,Within Limit,Within Limit,7.47,295,74.1,18.3,114,2.0,0.65
Junagadh,1022.2,868.0,Over-Exploited,Moderate,Within Limit,Above Limit,7.29,1109,80.6,37.8,385,4.1,1.58
Kutch,427.6,349.5,Safe,Low,Within Limit,Within Limit,6.43,154,57.2,39.9,44,31.9,1.44
Banaskantha,541.0,533.3,Safe,Moderate,Within Limit,Within Limit,7.15,847,75.8,27.3,199,30.2,0.61
Patan,517.2,488.0,Saline,Very High,Within Limit,Within Limit,7.31,3023,117.5,81.6,883,23.5,0.39
Mehsana,511.2,539.7,Critical,Low,Within Limit,Within Limit,7.6,425,80.0,47.3,77,22.7,0.8
Sabarkantha,726.8,716.4,Over-Exploited,Moderate,Above Limit,Within Limit,7.35,1491,111.9,39.4,409,47.5,0.49
Aravalli,770.4,704.4,Over-Exploited,Moderate,Above Limit,Within Limit,7.66,736,64.9,47.2,136,51.6,0.39
Anand,737.7,843.5,Safe,High,Above Limit,Within Limit,7.37,2368,146.4,53.2,606,52.7,0.34
Kheda,782.6,738.0,Safe,Low,Within Limit,Within Limit,7.61,434,72.1,13.8,236,7.3,1.27
Panchmahal,859.4,909.4,Semi-Critical,Low,Above Limit,Within Limit,7.53,412,50.8,54.3,253,74.4,0.95
Dahod,1026.4,1065.0,Safe,Moderate,Within Limit,Within Limit,7.5,641,81.5,58.1,212,6.5,0.63
Bharuch,1032.5,1234.8,Safe,Moderate,Within Limit,Within Limit,7.24,1247,67.3,54.6,487,26.3,0.68
Narmada,1055.6,1070.4,Semi-Critical,Low,Within Limit,Within Limit,7.28,360,65.9,2.0,251,7.4,0.72
Tapi,1916.2,1667.6,Safe,Low,Within Limit,Within Limit,6.4,497,91.5,18.7,203,28.0,0.11
Navsari,1492.5,1584.7,Safe,Low,Within Limit,Within Limit,6.86,170,65.9,31.2,117,28.6,0.29
Valsad,1978.6,1807.3,Safe,High,Within Limit,Within Limit,7.01,1997,105.1,72.1,568,16.4,0.54
Botad,746.5,739.3,Safe,Moderate,Within Limit,Within Limit,7.53,1010,64.0,45.9,277,15.2,0.97
Chhota Udaipur,864.0,1020.6,Semi-Critical,Moderate,Within Limit,Within Limit,7.19,1082,74.7,17.3,397,30.4,1.22
Devbhoomi Dwarka,525.7,639.4,Safe,Moderate,Above Limit,Within Limit,7.16,918,59.1,51.3,412,66.0,1.16
Gir Somnath,970.5,997.5,Safe,Low,Within Limit,Within Limit,7.29,465,87.5,64.3,101,4.1,0.58
Morbi,780.6,625.2,Semi-Critical,High,Within Limit,Within Limit,7.91,1756,78.1,44.0,383,11.7,1.38
Porbandar,814.3,786.6,Safe,Moderate,Within Limit,Within Limit,6.97,686,71.5,43.3,105,41.8,0.62
Mahisagar,1014.8,1016.0,Safe,Moderate,Within Limit,Within Limit,7.12,956,72.2,54.0,279,8.3,0.86
Surendranagar,722.3,619.3,Safe,High,Within Limit,Within Limit,7.37,1597,81.0,50.5,407,30.0,1.49
Dang,2303.6,2406.6,Safe,Moderate,Within Limit,Within Limit,7.23,588,33.1,20.8,194,27.1,1.07
Amreli,619.1,658.4,Safe,Moderate,Within Limit,Within Limit,7.25,681,87.4,20.6,128,15.8,0.35
Ahmedabad,415.4,542.3,Safe,Moderate,Within Limit,Within Limit,7.65,692,86.9,64.2,231,24.2,0.69
Surat,1840.5,1476.5,Over-Exploited,High,Above Limit,Within Limit,7.54,1709,71.3,61.8,530,48.6,1.17
Vadodara,872.1,890.7,Safe,Moderate,Above Limit,Within Limit,7.44,766,100.7,57.6,302,101.4,0.16
Rajkot,614.6,615.5,Safe,Moderate,Within Limit,Within Limit,7.03,534,36.3,33.3,255,37.1,0.51
Gandhinagar,800.4,691.7,Safe,Low,Within Limit,Within Limit,7.34,321,72.2,35.0,198,6.0,0.44
Bhavnagar,556.4,684.1,Safe,Moderate,Within Limit,Within Limit,7.58,1302,100.9,42.5,416,7.8,0.62
Jamnagar,554.4,621.8,Semi-Critical,Moderate,Within Limit,Within Limit,6.94,912,83.6,69.8,177,19.6,0.3
Junagadh,916.1,838.9,Safe,Moderate,Within Limit,Within Limit,7.7,618,79.5,38.3,122,34.6,0.96
Kutch,231.0,288.9,Safe,Low,Above Limit,Within Limit,6.85,152,56.8,16.4,21,60.8,1.48
Banaskantha,524.8,465.3,Safe,High,Within Limit,Within Limit,7.65,1658,99.1,71.3,526,7.6,0.71
Patan,571.0,496.1,Safe,Moderate,Within Limit,Within Limit,7.1,565,91.8,42.4,360,10.0,0.59
Mehsana,512.8,602.4,Over-Exploited,High,Within Limit,Above Limit,6.92,2902,130.2,45.9,779,6.7,2.54
Sabarkantha,576.5,642.8,Safe,Moderate,Within Limit,Within Limit,7.16,1103,96.1,35.9,263,19.6,0.39
Aravalli,852.7,773.8,Safe,Moderate,Above Limit,Within Limit,7.66,1115,43.8,39.8,311,64.0,0.56
Anand,571.5,661.9,Safe,Moderate,Within Limit,Above Limit,6.54,538,90.1,14.5,220,8.3,1.98
Kheda,720.3,763.4,Over-Exploited,High,Within Limit,Within Limit,7.0,1953,110.6,52.1,491,18.6,0.42
Panchmahal,923.3,886.0,Saline,Moderate,Within Limit,Within Limit,7.84,800,92.3,14.2,89,39.2,1.27
Dahod,968.5,1154.0,Safe,High,Within Limit,Within Limit,7.1,2397,112.7,69.7,777,22.1,1.03
Bharuch,937.8,1093.3,Safe,Low,Within Limit,Within Limit,7.41,199,35.7,38.2,112,22.1,0.43
Narmada,1374.9,1303.7,Saline,Moderate,Within Limit,Above Limit,8.23,1385,83.5,30.8,335,6.0,1.81
Tapi,1877.4,1736.9,Saline,Very High,Within Limit,Within Limit,7.9,3293,121.0,85.7,808,17.7,1.05
Navsari,1265.2,1389.2,Safe,Moderate,Within Limit,Above Limit,7.37,883,68.6,52.1,214,7.5,1.63
Valsad,2021.6,2156.4,Safe,Moderate,Within Limit,Within Limit,7.74,768,76.2,49.5,280,15.5,1.09
Botad,621.3,591.8,Over-Exploited,Moderate,Within Limit,Within Limit,7.26,1445,64.0,53.7,414,10.2,0.31
Chhota Udaipur,924.4,957.5,Over-Exploited,High,Above Limit,Within Limit,8.14,1748,94.1,31.8,471,54.4,0.53
Devbhoomi Dwarka,689.1,675.9,Semi-Critical,Moderate,Within Limit,Within Limit,8.14,1179,46.8,61.1,337,9.4,0.75
Gir Somnath,1307.8,1140.9,Safe,Low,Within Limit,Within Limit,7.09,241,83.7,33.3,109,5.7,0.51
Morbi,388.1,512.1,Semi-Critical,Low,Within Limit,Above Limit,7.03,376,52.3,23.0,226,9.7,1.88
Porbandar,709.3,674.2,Safe,Moderate,Within Limit,Within Limit,7.04,1061,74.7,38.4,345,18.0,0.51
Mahisagar,998.2,959.1,Safe,High,Within Limit,Within Limit,7.43,2428,108.8,72.8,581,5.0,0.66
Surendranagar,746.1,653.6,Safe,Low,Within Limit,Within Limit,7.67,259,21.5,40.8,147,5.0,1.46
Dang,2475.0,2490.6,Safe,Moderate,Within Limit,Within Limit,7.99,871,54.9,26.5,201,20.6,0.82
Amreli,646.5,670.5,Safe,Moderate,Within Limit,Within Limit,7.2,579,56.2,27.3,35,16.7,0.25
Ahmedabad,644.9,692.5,Critical,Moderate,Within Limit,Within Limit,7.25,745,70.0,60.1,128,5.5,0.86
Surat,1505.1,1442.1,Safe,Moderate,Within Limit,Within Limit,6.96,1230,96.7,33.1,363,7.4,0.87
Vadodara,777.1,898.5,Safe,Low,Above Limit,Within Limit,7.7,354,58.0,50.5,95,56.7,0.45
Rajkot,732.5,718.5,Safe,Moderate,Within Limit,Within Limit,7.0,1017,94.9,56.7,278,3.6,0.41
Gandhinagar,656.6,620.6,Safe,Moderate,Within Limit,Within Limit,7.22,605,60.8,61.1,205,23.4,0.55
Bhavnagar,575.3,648.5,Safe,Moderate,Above Limit,Within Limit,6.94,983,94.5,33.7,372,92.0,0.8
Jamnagar,741.9,685.6,Safe,Low,Within Limit,Within Limit,7.44,339,76.8,44.0,149,22.8,0.8
Junagadh,775.2,909.8,Semi-Critical,Moderate,Within Limit,Within Limit,6.82,694,63.9,31.6,171,8.6,0.94
Kutch,312.1,337.3,Safe,Low,Within Limit,Within Limit,7.28,344,89.8,52.6,166,15.8,1.12
Banaskantha,444.2,466.6,Safe,Moderate,Within Limit,Within Limit,7.76,512,85.8,37.2,317,27.8,0.99
Patan,448.7,530.8,Semi-Critical,Low,Within Limit,Within Limit,7.38,468,68.4,45.9,114,21.2,0.84
Mehsana,557.1,556.0,Over-Exploited,Moderate,Within Limit,Above Limit,6.5,743,56.0,33.2,142,19.1,1.54
Sabarkantha,776.0,738.7,Safe,Moderate,Within Limit,Above Limit,7.03,1445,79.8,60.9,373,14.3,2.45
Aravalli,914.5,755.7,Semi-Critical,Low,Within Limit,Above Limit,7.15,268,73.5,35.4,10,16.6,3.5
Anand,869.2,814.8,Safe,Moderate,Within Limit,Within Limit,7.5,544,70.6,54.9,273,27.7,0.83
Kheda,525.0,679.3,Over-Exploited,High,Within Limit,Within Limit,7.75,1563,117.9,40.1,320,42.2,0.49
Panchmahal,730.0,784.3,Safe,Moderate,Within Limit,Above Limit,7.93,589,89.1,27.8,309,22.1,1.51
Dahod,1180.9,1215.0,Safe,Moderate,Above Limit,Within Limit,7.24,1127,101.1,48.3,409,67.7,1.11
Bharuch,1081.9,1091.9,Critical,Low,Within Limit,Within Limit,7.11,136,81.4,46.6,25,22.8,0.71
Narmada,1600.3,1269.0,Safe,Moderate,Within Limit,Within Limit,7.13,1224,82.9,69.4,243,12.2,1.22
Tapi,1879.7,1763.9,Safe,Moderate,Within Limit,Within Limit,7.61,556,79.4,43.6,181,20.9,0.46
Navsari,2162.1,2130.7,Safe,Moderate,Within Limit,Above Limit,7.31,1112,99.1,27.2,188,19.5,2.74
Valsad,1999.3,2181.2,Safe,Moderate,Within Limit,Within Limit,7.15,1090,90.3,53.9,397,5.7,0.37
Botad,558.8,636.2,Safe,Low,Within Limit,Within Limit,7.51,411,49.9,70.0,110,16.1,0.96
Chhota Udaipur,1035.4,969.3,Semi-Critical,Moderate,Above Limit,Within Limit,7.26,982,85.1,51.2,410,120.0,0.42
Devbhoomi Dwarka,562.8,555.1,Safe,Low,Within Limit,Within Limit,7.66,230,66.9,39.0,83,24.5,1.06
Gir Somnath,848.5,1016.7,Safe,Moderate,Within Limit,Within Limit,8.14,887,82.6,45.4,397,11.0,1.36
Morbi,635.0,553.5,Safe,Moderate,Within Limit,Within Limit,7.24,1291,80.5,64.0,224,14.0,1.16
Porbandar,694.4,683.6,Safe,Low,Above Limit,Within Limit,7.06,235,78.3,22.3,10,46.8,1.09
Mahisagar,882.5,866.5,Safe,Low,Within Limit,Within Limit,7.34,425,72.0,24.2,216,41.0,0.94
Surendranagar,511.7,620.7,Safe,High,Within Limit,Within Limit,7.36,1812,77.5,59.4,563,30.1,0.42
Dang,2311.1,2326.3,Saline,Very High,Within Limit,Within Limit,7.08,3212,145.2,80.9,948,5.9,0.35
Amreli,804.6,687.2,Safe,High,Within Limit,Within Limit,7.04,2597,113.0,71.3,757,40.6,0.41
Ahmedabad,482.9,653.7,Safe,Moderate,Above Limit,Within Limit,7.26,1301,61.9,54.5,346,54.9,0.47
Surat,1908.9,1759.3,Safe,High,Above Limit,Within Limit,6.99,1732,130.4,37.8,466,56.8,1.08
Vadodara,934.0,809.1,Safe,Moderate,Within Limit,Within Limit,7.23,981,48.8,51.2,282,22.7,0.31
Rajkot,656.1,617.7,Safe,High,Within Limit,Within Limit,7.32,2466,138.2,78.8,685,8.9,0.45
Gandhinagar,670.8,712.9,Over-Exploited,Moderate,Within Limit,Within Limit,7.33,1103,78.8,60.1,285,38.0,1.04
Bhavnagar,588.4,566.3,Safe,Low,Within Limit,Within Limit,7.04,161,72.5,32.3,10,8.2,0.17
Jamnagar,596.3,552.9,Saline,High,Within Limit,Within Limit,7.47,1892,98.1,58.9,605,17.0,1.38
Junagadh,840.6,718.3,Safe,Low,Within Limit,Within Limit,6.97,369,53.3,51.8,71,11.8,0.45
Kutch,404.8,360.2,Safe,High,Above Limit,Within Limit,8.36,2224,117.5,68.8,509,92.1,0.91
Banaskantha,514.6,485.5,Safe,Moderate,Within Limit,Within Limit,6.46,546,82.4,58.3,231,19.9,0.81
Patan,536.7,527.5,Safe,Moderate,Within Limit,Within Limit,7.41,771,106.5,48.7,251,33.9,1.19
Mehsana,541.2,594.1,Safe,Moderate,Within Limit,Above Limit,7.07,600,87.3,49.8,98,27.3,1.82
Sabarkantha,712.6,687.4,Safe,Moderate,Within Limit,Within Limit,6.87,1240,87.8,67.7,313,38.9,0.81
Aravalli,700.8,709.5,Safe,Moderate,Within Limit,Within Limit,7.04,583,66.6,39.8,183,16.2,0.92
Anand,728.9,831.9,Safe,Moderate,Within Limit,Within Limit,6.61,688,70.5,42.6,267,22.6,1.11
Kheda,723.1,783.9,Over-Exploited,Moderate,Within Limit,Within Limit,7.29,859,61.8,41.1,225,28.0,0.82
Panchmahal,981.5,932.8,Safe,Moderate,Within Limit,Within Limit,7.35,718,84.4,77.5,150,20.7,0.39
Dahod,1010.6,1098.2,Safe,Moderate,Within Limit,Within Limit,7.46,744,65.1,14.4,350,39.1,0.74
Bharuch,1033.5,1022.5,Saline,High,Within Limit,Within Limit,7.71,2995,137.1,90.7,659,15.7,1.45
Narmada,1290.5,1107.6,Safe,High,Within Limit,Within Limit,7.88,2370,120.6,58.8,665,6.8,0.5
Tapi,1521.7,1510.0,Safe,Moderate,Within Limit,Within Limit,7.5,632,90.2,28.8,220,14.3,0.9
Navsari,2075.7,1891.5,Safe,Moderate,Within Limit,Within Limit,7.57,1196,55.5,31.7,283,26.6,0.37
Valsad,2110.1,2050.6,Safe,Low,Within Limit,Within Limit,6.96,250,85.9,44.2,45,8.7,0.18
Botad,716.6,713.6,Safe,High,Within Limit,Within Limit,7.32,2477,115.2,80.5,800,29.9,0.8
Chhota Udaipur,966.5,1102.4,Safe,Moderate,Within Limit,Above Limit,7.42,636,100.4,33.1,294,18.7,1.69
Devbhoomi Dwarka,699.5,653.8,Safe,Moderate,Within Limit,Within Limit,7.73,1439,110.1,83.6,539,29.0,0.61
Gir Somnath,789.8,1030.5,Over-Exploited,High,Within Limit,Within Limit,6.98,2270,127.9,93.8,502,19.2,0.42
Morbi,485.6,493.6,Safe,Moderate,Within Limit,Within Limit,7.7,1171,86.5,22.6,353,6.1,0.34
Porbandar,730.8,646.8,Safe,Moderate,Above Limit,Above Limit,7.53,1110,64.9,40.8,218,59.6,2.99
Mahisagar,1076.8,992.7,Safe,Moderate,Within Limit,Within Limit,6.75,727,57.7,33.9,201,12.2,0.82
Surendranagar,720.1,557.5,Safe,Low,Within Limit,Within Limit,7.75,353,61.8,42.2,179,22.7,0.41
Dang,2186.9,2144.7,Safe,Moderate,Within Limit,Within Limit,6.99,853,102.9,5.4,243,9.6,0.89
Amreli,641.7,754.2,Safe,Very High,Within Limit,Within Limit,7.48,3284,133.3,57.7,867,43.5,0.91
Ahmedabad,653.5,657.9,Safe,Low,Within Limit,Within Limit,6.85,350,90.4,48.5,220,10.4,0.73
Surat,1428.7,1643.7,Safe,High,Within Limit,Within Limit,7.17,1576,74.4,53.2,355,4.4,0.84
Vadodara,1072.9,939.2,Safe,Moderate,Above Limit,Within Limit,8.19,1151,110.3,58.3,375,53.5,0.21
Rajkot,465.7,614.4,Safe,Moderate,Within Limit,Within Limit,7.1,1191,144.2,40.1,356,14.5,0.6
Gandhinagar,511.1,613.5,Semi-Critical,Low,Above Limit,Above Limit,7.62,216,55.8,62.2,10,65.2,2.05
Bhavnagar,731.5,713.9,Safe,Moderate,Within Limit,Within Limit,7.91,653,57.2,43.9,210,9.8,0.95
Jamnagar,587.3,657.1,Safe,Moderate,Within Limit,Within Limit,6.51,1054,60.1,39.0,342,40.1,0.84
Junagadh,923.9,941.6,Safe,Moderate,Above Limit,Above Limit,7.54,1020,70.2,40.0,353,85.2,1.65
Kutch,237.3,304.8,Semi-Critical,Moderate,Within Limit,Within Limit,7.44,580,72.6,57.3,299,20.1,0.7
Banaskantha,605.6,525.8,Safe,Moderate,Within Limit,Within Limit,7.23,1114,70.0,30.1,344,32.9,1.24
Patan,666.1,569.9,Safe,Low,Above Limit,Within Limit,7.56,351,75.8,34.1,71,63.5,0.56
Mehsana,449.1,447.7,Safe,Moderate,Within Limit,Above Limit,8.14,694,83.7,35.8,208,16.9,3.03
Sabarkantha,623.5,736.0,Safe,Moderate,Within Limit,Above Limit,7.39,691,51.7,13.6,270,10.5,1.69
Aravalli,707.8,750.5,Safe,Low,Above Limit,Within Limit,7.89,188,69.6,26.1,26,71.9,0.42
Anand,829.2,777.9,Over-Exploited,Very High,Above Limit,Within Limit,7.31,3098,107.3,74.9,897,49.4,0.35
Kheda,657.8,786.9,Semi-Critical,Moderate,Within Limit,Within Limit,7.57,1360,68.8,73.4,417,23.9,0.72
Panchmahal,857.4,899.4,Saline,High,Above Limit,Above Limit,7.89,1726,84.7,48.0,471,62.5,1.58
Dahod,1225.3,1065.8,Safe,Moderate,Within Limit,Within Limit,7.06,854,67.5,63.4,430,25.8,0.57
Bharuch,990.1,1089.2,Safe,Moderate,Within Limit,Within Limit,7.11,553,69.5,40.1,176,16.8,1.26
Narmada,1152.3,1177.1,Safe,Moderate,Within Limit,Within Limit,8.02,720,64.6,49.7,170,26.5,1.11
Tapi,1664.3,1737.3,Over-Exploited,Moderate,Within Limit,Within Limit,7.09,859,96.5,74.1,332,7.3,1.29
Navsari,1604.3,1674.2,Safe,Moderate,Within Limit,Above Limit,7.54,895,79.2,34.4,359,13.1,1.7
Valsad,1844.6,1796.1,Safe,Low,Within Limit,Within Limit,7.07,383,57.4,58.6,250,40.3,0.82
Botad,744.4,649.4,Safe,Moderate,Within Limit,Within Limit,7.41,1219,114.1,60.5,374,13.9,0.58
Chhota Udaipur,1130.3,1070.9,Over-Exploited,High,Above Limit,Within Limit,6.82,2278,66.6,49.9,587,52.1,0.68
Devbhoomi Dwarka,664.1,632.7,Safe,Low,Within Limit,Within Limit,7.98,433,55.4,59.9,148,15.3,0.41
Gir Somnath,1298.2,1016.4,Safe,Moderate,Within Limit,Within Limit,7.51,1025,67.2,54.3,319,19.0,1.08
Morbi,481.7,489.2,Over-Exploited,Moderate,Above Limit,Within Limit,7.41,824,62.0,32.5,149,48.8,0.53
Porbandar,789.2,666.7,Saline,Very High,Within Limit,Within Limit,6.59,3321,154.1,104.5,1005,34.1,0.41
Mahisagar,779.7,946.2,Semi-Critical,Low,Within Limit,Within Limit,6.96,476,57.0,39.6,133,13.5,0.67
Surendranagar,837.3,675.0,Saline,High,Within Limit,Above Limit,7.53,1996,83.1,71.4,511,11.3,2.66
Dang,1360.8,1974.0,Over-Exploited,High,Within Limit,Within Limit,7.25,2166,90.4,103.5,650,19.1,0.52
Amreli,585.1,723.8,Saline,High,Within Limit,Within Limit,7.39,1931,102.9,56.8,477,41.8,0.3
Ahmedabad,590.2,634.3,Saline,Very High,Within Limit,Within Limit,7.22,4146,151.7,97.2,940,19.0,0.28
Surat,1413.2,1541.0,Safe,High,Within Limit,Within Limit,7.33,1630,77.2,72.5,388,40.9,1.06
Vadodara,726.2,873.2,Safe,High,Within Limit,Within Limit,7.6,1685,78.3,58.9,552,21.9,0.92
Rajkot,818.0,695.0,Safe,Moderate,Within Limit,Above Limit,6.87,745,48.8,30.8,161,5.2,2.42
Gandhinagar,666.3,708.2,Safe,Moderate,Within Limit,Within Limit,6.69,785,98.8,12.5,287,4.6,0.62
Bhavnagar,589.6,712.1,Safe,Moderate,Within Limit,Above Limit,7.65,732,83.9,42.0,273,12.3,2.55
Jamnagar,626.6,539.5,Safe,Moderate,Within Limit,Within Limit,7.65,896,93.8,51.8,209,15.9,0.33
Junagadh,913.6,878.1,Safe,Moderate,Within Limit,Within Limit,7.56,1152,47.9,38.8,285,7.0,0.48
Kutch,434.9,350.1,Safe,Low,Within Limit,Within Limit,6.95,452,57.0,41.8,261,18.7,0.34
Banaskantha,452.5,438.3,Safe,Moderate,Within Limit,Within Limit,8.13,1454,65.4,53.9,331,9.7,0.44
Patan,448.2,505.5,Safe,Very High,Within Limit,Within Limit,7.22,3540,150.6,73.2,1114,26.2,1.32
Mehsana,590.8,522.4,Safe,Moderate,Within Limit,Within Limit,7.25,978,58.0,41.1,269,40.1,0.7
Sabarkantha,649.2,597.5,Safe,High,Within Limit,Above Limit,6.73,1738,130.9,77.0,434,8.2,1.5
Aravalli,607.7,667.8,Safe,Low,Within Limit,Within Limit,7.4,363,96.6,41.1,222,15.1,0.85
Anand,717.7,726.4,Semi-Critical,Moderate,Above Limit,Above Limit,7.34,511,65.6,33.0,346,82.3,1.87
Kheda,1015.4,887.7,Saline,High,Within Limit,Within Limit,7.35,2472,114.2,63.9,585,25.4,0.31
Panchmahal,800.7,910.1,Safe,Moderate,Within Limit,Within Limit,7.48,762,68.2,16.8,145,28.9,0.57
Dahod,1149.9,1148.6,Safe,Moderate,Above Limit,Within Limit,7.54,710,60.7,46.7,194,120.0,0.41
Bharuch,1027.8,1069.0,Safe,Low,Within Limit,Within Limit,7.69,355,58.5,2.0,194,12.0,0.75
Narmada,1213.0,1267.7,Safe,Moderate,Above Limit,Within Limit,8.39,640,29.7,20.3,123,83.7,0.54
Tapi,1540.4,1630.4,Safe,Moderate,Within Limit,Within Limit,7.39,1149,88.0,66.5,372,11.1,0.96
Navsari,2235.5,2122.5,Saline,High,Within Limit,Above Limit,6.85,2697,128.4,83.5,749,21.9,3.5
Valsad,2407.3,2128.3,Semi-Critical,Moderate,Within Limit,Within Limit,7.35,833,89.3,40.5,254,29.0,0.59
Botad,657.0,651.0,Semi-Critical,Moderate,Within Limit,Within Limit,7.16,1429,48.6,46.8,439,43.3,0.53
Chhota Udaipur,1294.6,1147.0,Safe,Moderate,Within Limit,Within Limit,7.08,1256,71.4,55.4,494,20.2,0.72
Devbhoomi Dwarka,524.2,551.5,Safe,Moderate,Within Limit,Within Limit,7.41,521,40.2,32.9,99,42.4,0.48
Gir Somnath,987.6,952.3,Safe,Moderate,Within Limit,Above Limit,8.34,609,90.8,39.4,232,3.0,1.68
Morbi,600.1,605.6,Over-Exploited,High,Within Limit,Within Limit,7.68,1991,91.5,65.6,632,28.8,0.69
Porbandar,826.4,715.8,Semi-Critical,Moderate,Within Limit,Within Limit,6.93,1280,97.3,56.0,463,20.5,0.64
Mahisagar,765.2,845.1,Safe,High,Within Limit,Above Limit,7.48,1651,91.0,74.2,550,11.1,1.64
Surendranagar,551.5,517.1,Safe,Moderate,Above Limit,Within Limit,7.86,982,87.3,41.1,282,120.0,0.84
Dang,1794.2,2299.5,Safe,Low,Within Limit,Within Limit,7.61,487,37.4,45.5,114,8.7,0.52
Amreli,808.1,781.5,Safe,Low,Within Limit,Within Limit,7.71,463,85.9,31.2,243,44.8,1.33
Ahmedabad,511.6,611.8,Safe,Low,Above Limit,Within Limit,7.14,290,58.4,30.0,119,80.0,0.65
Surat,1176.2,1494.3,Safe,Very High,Above Limit,Within Limit,6.87,3045,106.8,86.1,831,74.5,1.23
Vadodara,1008.9,894.0,Safe,High,Within Limit,Within Limit,7.14,1606,111.4,50.8,443,22.4,0.64
Rajkot,695.6,616.8,Safe,Low,Within Limit,Within Limit,6.98,320,79.9,33.7,209,26.6,0.36
Gandhinagar,726.1,683.4,Saline,High,Within Limit,Within Limit,7.21,2810,110.7,63.8,647,6.2,1.01
Bhavnagar,649.6,606.4,Safe,Moderate,Within Limit,Within Limit,6.87,560,63.0,69.8,182,33.5,0.89
Jamnagar,658.4,549.7,Safe,Moderate,Within Limit,Above Limit,6.88,689,63.5,37.2,282,11.6,3.5
Junagadh,898.6,831.3,Safe,Low,Within Limit,Within Limit,7.35,245,72.2,16.9,231,28.3,0.66
Kutch,331.3,366.9,Safe,High,Above Limit,Within Limit,7.81,1695,101.4,64.6,356,64.7,0.75
Banaskantha,607.5,551.3,Safe,Moderate,Within Limit,Within Limit,6.98,1466,70.9,85.7,295,8.3,0.82
Patan,486.8,521.9,Safe,Moderate,Within Limit,Within Limit,7.76,1158,82.8,43.3,338,13.4,0.29
Mehsana,617.7,564.0,Over-Exploited,Moderate,Within Limit,Within Limit,6.49,1389,76.3,64.4,282,34.9,0.61
Sabarkantha,644.1,699.0,Safe,Low,Within Limit,Within Limit,7.97,405,84.4,45.7,224,29.9,1.41
Aravalli,834.2,710.2,Safe,High,Above Limit,Within Limit,7.55,1733,88.9,37.6,502,77.0,0.4
Anand,818.7,861.1,Safe,Moderate,Within Limit,Within Limit,6.93,635,57.6,49.2,270,24.2,0.59
Kheda,719.3,713.8,Safe,Moderate,Within Limit,Above Limit,7.48,643,66.4,35.2,223,26.5,1.67
Panchmahal,935.3,875.3,Safe,High,Within Limit,Within Limit,7.63,2361,130.5,56.1,583,17.6,0.77
Dahod,1097.9,1192.8,Semi-Critical,Moderate,Within Limit,Within Limit,7.83,759,79.5,41.2,259,8.1,0.4
Bharuch,989.2,962.4,Safe,Moderate,Within Limit,Above Limit,7.71,1388,110.6,72.6,409,19.0,1.94
Narmada,953.1,1129.9,Saline,High,Within Limit,Above Limit,7.22,2110,103.2,48.9,607,12.7,1.67
Tapi,1422.2,1448.7,Saline,High,Within Limit,Within Limit,7.49,2115,120.8,65.7,568,34.8,1.33
Navsari,1913.4,1835.9,Safe,Moderate,Within Limit,Within Limit,6.74,1179,76.6,53.3,321,15.9,1.0
Valsad,2164.7,2059.6,Safe,Low,Within Limit,Above Limit,6.83,497,86.0,26.3,109,9.7,1.6
Botad,676.3,650.6,Safe,Moderate,Within Limit,Within Limit,7.38,1210,104.5,30.2,266,8.0,1.03
Chhota Udaipur,1082.5,1143.9,Safe,Moderate,Above Limit,Within Limit,7.91,696,60.0,44.9,169,48.1,1.17
Devbhoomi Dwarka,530.5,550.1,Safe,Low,Within Limit,Within Limit,7.76,230,105.5,2.0,10,22.9,0.79
Gir Somnath,748.6,965.8,Over-Exploited,High,Within Limit,Within Limit,7.76,1763,152.2,76.1,387,19.8,1.14
Morbi,604.1,545.6,Semi-Critical,Moderate,Within Limit,Within Limit,7.89,1220,100.4,52.6,304,7.1,0.91
Porbandar,653.9,678.5,Semi-Critical,High,Within Limit,Within Limit,7.95,1568,66.7,50.4,407,25.7,0.21
Mahisagar,824.5,838.0,Safe,Moderate,Above Limit,Within Limit,7.43,1282,99.1,52.2,473,65.7,0.51
Surendranagar,682.3,644.2,Saline,Very High,Within Limit,Within Limit,7.08,6000,177.7,104.5,1472,27.2,0.91
Dang,2420.2,2290.2,Semi-Critical,Moderate,Within Limit,Within Limit,7.3,695,54.5,29.9,219,23.4,1.23
Amreli,857.0,732.5,Semi-Critical,Low,Above Limit,Above Limit,7.31,446,51.2,55.9,121,50.4,1.91
Ahmedabad,698.3,673.4,Safe,Moderate,Within Limit,Within Limit,7.27,819,67.6,40.1,401,8.7,0.9
Surat,1533.2,1583.0,Semi-Critical,Moderate,Within Limit,Within Limit,6.8,1027,107.0,62.4,299,9.9,1.29
Vadodara,705.3,815.8,Safe,Moderate,Within Limit,Within Limit,8.01,775,88.3,31.9,109,20.7,0.93
